***MASTER LIST***
Mission=SURGE_0 (PASS)
Mission=SURGE_1 (PASS)
Mission=SURGE_2 (PASS)
Mission=SURGE_3 (PASS)
Mission=SURGE_4 (PASS)
Mission=SS_SPECOPS_0 (PASS)
Mission=SS_SPECOPS_1 (PASS)
Mission=SS_SPECOPS_2 (PASS)
Mission=SS_SPECOPS_3 1 (PASS)
Mission=SS_SPECOPS_LG_0 (PASS)
Mission=SS_SPECOPS_LG_1 (PASS)
Mission=LANDING_FORCE_0 (PASS)
Mission=LANDING_FORCE_1 (PASS)
Mission=LANDING_FORCE_2 (PASS)
Mission=LANDING_FORCE_3 (PASS)
Mission=LANDING_FORCE_4 (PASS)
Mission=RESUPPLY_CONVOY_0 (NEEDS TESTING)
Mission=INSERTION_0 (NEEDS TESTING)
Mission=INSERTION_1 (PASS)
Mission=LAND_STRIKE_0 (PASS)
Mission=LAND_STRIKE_1 (NO STARTS OR ENDS)
Mission=LAND_STRIKE_2 (NO STARTS OR ENDS)
Mission=SUB_RESUPPLY_0 (PASS)
Mission=SUB_RESUPPLY_1 (PASS)
Mission=SHIP_RESUPPLY_0 (PASS)
Mission=SHIP_RESUPPLY_1 (PASS)
Mission=ASUW_STRIKE_0 (PASS)
Mission=ASUW_STRIKE_1 (PASS)
Mission=ASUW_STRIKE_2 (PASS)
Mission=ASUW_STRIKE_3 (PASS)
Mission=ASUW_STRIKE_4 (PASS)
Mission=ASUW_STRIKE_5 (PASS)
Mission=ASUW_STRIKE_6 (PASS)
Mission=ASUW_STRIKE_7 (PASS)
Mission=ASUW_STRIKE_8 (PASS)
Mission=ASUW_STRIKE_LG_0 (PASS)
Mission=ASUW_STRIKE_LG_1 (PASS)
Mission=ASUW_STRIKE_LG_2 (PASS)
Mission=ASUW_STRIKE_LG_3 (PASS)
Mission=SSBN_HUNT_0 (PASS)
Mission=SSBN_HUNT_1 (NO STARTS OR ENDS)
Mission=SSBN_HUNT_2 (NO STARTS OR ENDS)
Mission=SS_WOLFPACK_0 (PASS)
Mission=SS_WOLFPACK_1 (PASS)
Mission=SS_WOLFPACK_2 (PASS)
Mission=SS_WOLFPACK_3 (PASS)
Mission=SS_WOLFPACK_4 (PASS)
Mission=SS_WOLFPACK_5 (PASS)
Mission=SS_WOLFPACK_6 (PASS)
Mission=SS_WOLFPACK_7 (PASS)
Mission=SS_WOLFPACK_LG_0 (PASS)
Mission=SS_WOLFPACK_LG_1 (PASS)
Mission=SS_WOLFPACK_LG_2 (PASS)
Mission=SS_WOLFPACK_LG_3 (PASS)
Mission=SS_WOLFPACK_LG_4 (PASS)
Mission=SS_WOLFPACK_LG_5 (PASS)
Mission=SS_WOLFPACK_LG_6 (PASS)
Mission=SSN_WOLFPACK_0 (PASS)
Mission=SSN_WOLFPACK_1 (PASS)
Mission=SSN_WOLFPACK_2 (PASS)
Mission=SSN_WOLFPACK_3 (PASS)
Mission=SSN_WOLFPACK_4 (PASS)
Mission=SSN_WOLFPACK_5 (PASS)
Mission=SSN_WOLFPACK_6 (PASS)
Mission=SSN_WOLFPACK_7 (PASS)
Mission=SSN_WOLFPACK_8 (PASS)
Mission=SSN_WOLFPACK_LG_0 (NO STARTS OR ENDS)
Mission=SSN_WOLFPACK_LG_1 (PASS)
Mission=SSN_WOLFPACK_LG_2 (PASS)
Mission=SSN_WOLFPACK_LG_3 (PASS)
Mission=SSN_WOLFPACK_LG_4 (PASS)
Mission=SSN_WOLFPACK_LG_5 (PASS)
Mission=SSN_WOLFPACK_LG_6 (PASS)
Mission=RETURN_TO_BASE (PASS)
Mission=SSBN_PATROL_0 (PASS)
Mission=SSBN_PATROL_1 (NO STARTS OR ENDS)
Mission=SSBN_PATROL_2 (PASS)
Mission=SSBN_PATROL_3 (PASS)
Mission=SSBN_PATROL_4 (PASS)
Mission=SSBN_PATROL_5 (PASS)
Mission=SSBN_PATROL_6 (NO BRIEFING) - MISSION REMOVED

***WORKING MISSIONS***
Mission=SURGE_0 (PASS)
Mission=SURGE_1 (PASS)
Mission=SURGE_2 (PASS)
Mission=SURGE_3 (PASS)
Mission=SURGE_4 (PASS)
Mission=SS_SPECOPS_0 (PASS)
Mission=SS_SPECOPS_1 (PASS)
Mission=SS_SPECOPS_2 (PASS)
Mission=SS_SPECOPS_3 1 (PASS)
Mission=SS_SPECOPS_LG_0 (PASS)
Mission=SS_SPECOPS_LG_1 (PASS)
Mission=LANDING_FORCE_0 (PASS)
Mission=LANDING_FORCE_1 (PASS)
Mission=LANDING_FORCE_2 (PASS)
Mission=LANDING_FORCE_3 (PASS)
Mission=LANDING_FORCE_4 (PASS)
Mission=INSERTION_1 (PASS)
Mission=LAND_STRIKE_0 (PASS)
Mission=SUB_RESUPPLY_0 (PASS)
Mission=SUB_RESUPPLY_1 (PASS)
Mission=SHIP_RESUPPLY_0 (PASS)
Mission=SHIP_RESUPPLY_1 (PASS)
Mission=ASUW_STRIKE_0 (PASS)
Mission=ASUW_STRIKE_1 (PASS)
Mission=ASUW_STRIKE_2 (PASS)
Mission=ASUW_STRIKE_3 (PASS)
Mission=ASUW_STRIKE_4 (PASS)
Mission=ASUW_STRIKE_5 (PASS)
